data_filename,num_context_layers,embedding_size,batch_size,mode,gpu,attempts,final_returncode,status,ckpt_path,log_path,best_val_loss,best_val_top10,best_val_top25,best_val_top50,best_test_loss,best_test_top10,best_test_top25,best_test_top50,best_triadic,best_epoch
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,128,2048,combined,1,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=2048.log,6.466,0.515,0.751,0.916,6.793,0.468,0.72,0.896,0.76,8
qwen2.5-7b-bc_slash-best_embeddings_last_5turns,4,64,2048,combined,2,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=2048.log,6.48,0.515,0.749,0.916,6.827,0.463,0.714,0.9,0.757,20
llama3.1-8b-bc_slash-best_embeddings_last_5turns,3,128,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=2048.log,6.507,0.515,0.746,0.912,6.845,0.461,0.711,0.893,0.747,17
llama3.1-8b-bc_slash-best_embeddings_last_5turns,3,256,2048,combined,5,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=2048.log,6.467,0.515,0.744,0.913,6.81,0.457,0.711,0.896,0.743,7
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,128,1024,combined,6,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=1024.log,5.955,0.515,0.742,0.91,6.361,0.415,0.674,0.876,0.733,4
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,128,4096,combined,3,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=4096.log,7.263,0.514,0.743,0.913,7.408,0.495,0.739,0.906,0.757,13
llama3.1-8b-bc_slash-best_embeddings_last_5turns,4,64,1024,combined,1,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=1024.log,5.976,0.514,0.745,0.91,6.378,0.429,0.686,0.881,0.729,14
gemma3-4b-bc-split-1_embeddings_last_5turns,3,256,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=2048.log,6.507,0.513,0.747,0.912,6.861,0.45,0.709,0.893,0.778,19
gemma3-4b-bc-split-1_embeddings_last_5turns,4,128,1024,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=1024.log,5.962,0.513,0.746,0.912,6.375,0.421,0.683,0.876,0.757,12
gemma3-4b-bc-split-1_embeddings_last_5turns,4,256,1024,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=4__emb=256__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=4__emb=256__bs=1024.log,5.969,0.513,0.749,0.91,6.39,0.419,0.677,0.883,0.747,12
llama3.1-8b-bc_slash-best_embeddings_last_5turns,3,128,4096,combined,6,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=4096.log,7.254,0.512,0.741,0.911,7.421,0.487,0.726,0.906,0.74,12
gemma3-4b-bc-split-1_embeddings_last_5turns,2,256,4096,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=256__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=256__bs=4096.log,7.268,0.512,0.743,0.91,7.425,0.486,0.735,0.905,0.75,19
gemma3-4b-bc-split-1_embeddings_last_5turns,3,128,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=2048.log,6.516,0.512,0.747,0.91,6.842,0.46,0.715,0.899,0.76,20
qwen2.5-7b-bc_slash-best_embeddings_last_5turns,3,64,2048,combined,6,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.471,0.512,0.744,0.915,6.815,0.456,0.708,0.894,0.764,13
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,256,1024,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=256__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=256__bs=1024.log,5.96,0.512,0.737,0.912,6.349,0.429,0.675,0.875,0.743,4
llama3.1-8b-bc_slash-best_embeddings_last_5turns,4,256,1024,combined,6,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=256__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=256__bs=1024.log,6.007,0.512,0.741,0.909,6.411,0.425,0.68,0.876,0.764,9
llama3.1-8b-bc_slash-best_embeddings_last_5turns,4,128,1024,combined,5,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=1024.log,5.975,0.512,0.746,0.91,6.383,0.424,0.679,0.876,0.774,9
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,128,8192,combined,5,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=8192.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=8192.log,7.541,0.511,0.738,0.905,7.63,0.513,0.749,0.913,0.74,20
llama3.1-8b-bc_slash-best_embeddings_last_5turns,4,256,4096,combined,3,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=256__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=256__bs=4096.log,7.249,0.511,0.747,0.907,7.408,0.486,0.733,0.907,0.74,17
llama3.1-8b-bc_slash-best_embeddings_last_5turns,4,64,2048,combined,6,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=2048.log,6.483,0.511,0.747,0.911,6.815,0.46,0.716,0.895,0.767,13
gemma3-4b-bc-split-1_embeddings_last_5turns,2,64,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=2048.log,6.476,0.511,0.747,0.915,6.817,0.46,0.714,0.899,0.726,18
gemma3-4b-bc-split-1_embeddings_last_5turns,2,64,1024,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=1024.log,5.976,0.511,0.747,0.917,6.381,0.427,0.684,0.881,0.767,9
gemma3-4b-bc-split-1_embeddings_last_5turns,2,256,1024,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=256__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=256__bs=1024.log,5.991,0.511,0.74,0.913,6.395,0.424,0.673,0.874,0.757,7
qwen2.5-7b-bc_slash-best_embeddings_last_5turns,3,64,1024,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=1024.log,5.962,0.511,0.752,0.915,6.378,0.421,0.679,0.881,0.76,12
gemma3-4b-bc-split-1_embeddings_last_5turns,3,64,1024,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=1024.log,5.982,0.511,0.741,0.912,6.383,0.42,0.683,0.881,0.747,13
llama3.1-8b-bc_slash-best_embeddings_last_5turns,3,256,4096,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=4096.log,7.271,0.51,0.739,0.911,7.423,0.491,0.734,0.909,0.76,14
llama3.1-8b-bc_slash-best_embeddings_last_5turns,4,64,4096,combined,1,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=4096.log,7.256,0.51,0.741,0.911,7.408,0.484,0.729,0.908,0.733,20
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,256,2048,combined,2,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=256__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=256__bs=2048.log,6.503,0.51,0.738,0.911,6.82,0.458,0.707,0.889,0.743,9
llama3.1-8b-bc_slash-best_embeddings_last_5turns,1,64,2048,combined,1,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=1__emb=64__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=1__emb=64__bs=2048.log,6.487,0.51,0.742,0.91,6.823,0.453,0.708,0.895,0.726,7
gemma3-4b-bc-split-1_embeddings_last_5turns,3,64,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.49,0.51,0.742,0.914,6.828,0.45,0.711,0.898,0.722,13
gemma3-4b-bc-split-1_embeddings_last_5turns,1,64,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=1__emb=64__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=1__emb=64__bs=2048.log,6.503,0.51,0.739,0.911,6.834,0.449,0.699,0.891,0.743,7
llama3.1-8b-bc_slash-best_embeddings_last_5turns,3,256,1024,combined,3,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=1024.log,5.975,0.51,0.736,0.904,6.378,0.425,0.676,0.87,0.764,8
llama3.1-8b-bc_slash-best_embeddings_last_5turns,3,64,1024,combined,1,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=1024.log,5.972,0.51,0.748,0.916,6.383,0.424,0.676,0.878,0.736,11
gemma3-4b-bc-split-1_embeddings_last_5turns,3,128,1024,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=1024.log,5.994,0.51,0.74,0.911,6.401,0.424,0.681,0.878,0.753,11
qwen2.5-7b-bc_slash-best_embeddings_last_5turns,3,64,4096,combined,1,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=4096.log,7.269,0.509,0.743,0.916,7.427,0.487,0.732,0.909,0.771,20
qwen2.5-7b-bc_slash-best_embeddings_last_5turns,3,128,4096,combined,2,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=4096.log,7.268,0.509,0.734,0.911,7.425,0.485,0.728,0.906,0.747,14
qwen2.5-7b-bc_slash-best_embeddings_last_5turns,3,256,1024,combined,6,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=1024.log,5.987,0.509,0.743,0.912,6.386,0.423,0.677,0.875,0.771,10
gemma3-4b-bc-split-1_embeddings_last_5turns,2,64,4096,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=4096.log,7.259,0.508,0.74,0.913,7.413,0.489,0.735,0.911,0.733,18
gemma3-4b-bc-split-1_embeddings_last_5turns,2,128,4096,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=4096.log,7.27,0.508,0.739,0.911,7.421,0.484,0.729,0.904,0.74,20
qwen2.5-7b-bc_slash-best_embeddings_last_5turns,4,128,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=2048.log,6.493,0.508,0.743,0.912,6.823,0.456,0.712,0.894,0.767,15
qwen2.5-7b-bc_slash-best_embeddings_last_5turns,3,128,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=2048.log,6.48,0.508,0.741,0.91,6.812,0.446,0.706,0.894,0.722,8
qwen2.5-7b-bc_slash-best_embeddings_last_5turns,2,64,1024,combined,1,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=1024.log,5.974,0.508,0.743,0.913,6.372,0.422,0.68,0.876,0.747,9
gemma3-4b-bc-split-1_embeddings_last_5turns,3,256,1024,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=3__emb=256__bs=1024.log,5.965,0.508,0.74,0.914,6.366,0.418,0.676,0.876,0.75,6
qwen2.5-7b-bc_slash-best_embeddings_last_5turns,4,256,1024,combined,2,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=256__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=256__bs=1024.log,5.993,0.508,0.741,0.913,6.408,0.413,0.671,0.875,0.771,12
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,64,8192,combined,2,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=8192.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=8192.log,7.529,0.507,0.744,0.91,7.615,0.521,0.754,0.916,0.743,20
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,256,8192,combined,6,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=256__bs=8192.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=256__bs=8192.log,7.537,0.507,0.737,0.907,7.626,0.513,0.748,0.912,0.753,19
