data_filename,num_context_layers,embedding_size,batch_size,mode,gpu,attempts,final_returncode,status,ckpt_path,log_path,best_val_loss,best_val_top10,best_val_top25,best_val_top50,best_test_loss,best_test_top10,best_test_top25,best_test_top50,best_triadic,best_epoch
llama3.1-8b-bc_slash-best_embeddings_last_3turns,2,256,1024,combined,7,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=256__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=256__bs=1024.log,6.072,0.486,0.715,0.896,6.449,0.395,0.651,0.859,0.75,6
llama3.1-8b-bc_slash-best_embeddings_last_3turns,2,64,1024,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=1024.log,6.05,0.485,0.72,0.9,6.417,0.407,0.66,0.865,0.747,8
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,3,128,4096,combined,2,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=4096.log,7.361,0.484,0.717,0.899,7.503,0.457,0.71,0.895,0.75,18
llama3.1-8b-bc_slash-best_embeddings_last_3turns,2,64,2048,combined,7,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=2048.log,6.584,0.484,0.72,0.899,6.894,0.435,0.687,0.885,0.747,12
llama3.1-8b-bc_slash-best_embeddings_last_3turns,4,64,2048,combined,6,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=2048.log,6.557,0.484,0.719,0.902,6.868,0.431,0.694,0.884,0.753,14
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,4,64,2048,combined,2,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=2048.log,6.568,0.484,0.712,0.9,6.868,0.429,0.688,0.885,0.74,20
llama3.1-8b-bc_slash-best_embeddings_last_3turns,3,128,4096,combined,6,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=4096.log,7.34,0.483,0.724,0.899,7.475,0.464,0.714,0.898,0.74,15
gemma3-4b-bc-split-1_embeddings_last_3turns,4,128,2048,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=2048.log,6.555,0.483,0.726,0.902,6.874,0.431,0.689,0.887,0.757,18
gemma3-4b-bc-split-1_embeddings_last_3turns,3,128,2048,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=2048.log,6.567,0.483,0.716,0.899,6.871,0.428,0.685,0.886,0.743,13
gemma3-4b-bc-split-1_embeddings_last_3turns,2,64,2048,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=2048.log,6.571,0.483,0.717,0.896,6.878,0.426,0.685,0.888,0.75,11
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,4,128,2048,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=2048.log,6.586,0.483,0.717,0.899,6.889,0.425,0.685,0.882,0.774,13
llama3.1-8b-bc_slash-best_embeddings_last_3turns,4,128,1024,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=1024.log,6.051,0.483,0.725,0.901,6.422,0.405,0.657,0.866,0.753,10
llama3.1-8b-bc_slash-best_embeddings_last_3turns,3,64,1024,combined,1,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=1024.log,6.039,0.483,0.717,0.898,6.397,0.405,0.654,0.864,0.76,8
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,3,64,1024,combined,4,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=1024.log,6.069,0.483,0.72,0.898,6.436,0.402,0.657,0.871,0.747,16
llama3.1-8b-bc_slash-best_embeddings_last_3turns,4,128,2048,combined,7,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=2048.log,6.587,0.482,0.718,0.899,6.877,0.436,0.692,0.883,0.74,15
llama3.1-8b-bc_slash-best_embeddings_last_3turns,2,128,2048,combined,1,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=2048.log,6.573,0.482,0.716,0.896,6.867,0.435,0.688,0.883,0.747,7
llama3.1-8b-bc_slash-best_embeddings_last_3turns,3,256,1024,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=256__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=256__bs=1024.log,6.063,0.482,0.717,0.897,6.434,0.403,0.653,0.862,0.76,8
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,4,64,1024,combined,7,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=1024.log,6.094,0.482,0.72,0.897,6.452,0.4,0.663,0.864,0.74,18
gemma3-4b-bc-split-1_embeddings_last_3turns,4,256,1024,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=256__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=256__bs=1024.log,6.054,0.482,0.72,0.897,6.427,0.398,0.654,0.862,0.764,15
gemma3-4b-bc-split-1_embeddings_last_3turns,3,128,1024,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=1024.log,6.051,0.482,0.722,0.897,6.426,0.397,0.654,0.865,0.753,11
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,3,128,2048,combined,7,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=2048.log,6.567,0.481,0.712,0.9,6.871,0.432,0.685,0.884,0.736,9
gemma3-4b-bc-split-1_embeddings_last_3turns,4,64,2048,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=2048.log,6.576,0.481,0.722,0.898,6.88,0.421,0.685,0.882,0.722,16
gemma3-4b-bc-split-1_embeddings_last_3turns,4,64,1024,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=1024.log,6.061,0.481,0.725,0.902,6.422,0.404,0.66,0.869,0.767,19
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,2,64,1024,combined,1,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=1024.log,6.072,0.481,0.718,0.9,6.434,0.398,0.653,0.863,0.74,9
llama3.1-8b-bc_slash-best_embeddings_last_3turns,4,256,4096,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=256__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=256__bs=4096.log,7.344,0.48,0.715,0.897,7.492,0.462,0.706,0.892,0.771,19
llama3.1-8b-bc_slash-best_embeddings_last_3turns,2,128,4096,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=4096.log,7.362,0.48,0.716,0.893,7.51,0.459,0.71,0.897,0.75,15
llama3.1-8b-bc_slash-best_embeddings_last_3turns,4,128,4096,combined,2,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=4096.log,7.363,0.48,0.713,0.895,7.502,0.454,0.707,0.892,0.75,18
llama3.1-8b-bc_slash-best_embeddings_last_3turns,2,256,2048,combined,2,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=256__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=256__bs=2048.log,6.589,0.48,0.712,0.897,6.883,0.436,0.684,0.88,0.747,9
llama3.1-8b-bc_slash-best_embeddings_last_3turns,3,256,2048,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=256__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=256__bs=2048.log,6.584,0.48,0.716,0.894,6.881,0.434,0.685,0.881,0.767,13
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,3,256,2048,combined,1,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=256__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=256__bs=2048.log,6.575,0.48,0.72,0.898,6.898,0.424,0.683,0.879,0.743,11
llama3.1-8b-bc_slash-best_embeddings_last_3turns,2,128,1024,combined,6,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=1024.log,6.06,0.48,0.715,0.894,6.43,0.398,0.652,0.86,0.743,5
gemma3-4b-bc-split-1_embeddings_last_3turns,2,64,1024,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=1024.log,6.06,0.48,0.714,0.896,6.435,0.398,0.652,0.862,0.764,7
gemma3-4b-bc-split-1_embeddings_last_3turns,2,256,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=256__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=256__bs=4096.log,7.347,0.479,0.712,0.897,7.493,0.455,0.703,0.897,0.75,16
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,2,64,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=4096.log,7.36,0.479,0.715,0.896,7.5,0.454,0.704,0.895,0.74,17
gemma3-4b-bc-split-1_embeddings_last_3turns,2,64,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=4096.log,7.36,0.479,0.71,0.897,7.5,0.452,0.702,0.897,0.736,17
gemma3-4b-bc-split-1_embeddings_last_3turns,1,64,2048,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=1__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=1__emb=64__bs=2048.log,6.587,0.479,0.718,0.895,6.893,0.43,0.684,0.881,0.736,8
llama3.1-8b-bc_slash-best_embeddings_last_3turns,4,256,2048,combined,1,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=256__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=256__bs=2048.log,6.577,0.479,0.713,0.899,6.874,0.43,0.688,0.883,0.743,10
gemma3-4b-bc-split-1_embeddings_last_3turns,2,128,2048,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=2048.log,6.621,0.479,0.711,0.898,6.934,0.423,0.681,0.88,0.736,18
llama3.1-8b-bc_slash-best_embeddings_last_3turns,4,64,1024,combined,6,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=64__bs=1024.log,6.059,0.479,0.716,0.896,6.431,0.4,0.656,0.864,0.747,6
gemma3-4b-bc-split-1_embeddings_last_3turns,2,256,1024,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=256__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=2__emb=256__bs=1024.log,6.061,0.479,0.725,0.9,6.44,0.398,0.654,0.865,0.76,7
llama3.1-8b-bc_slash-best_embeddings_last_3turns,4,256,1024,combined,6,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=256__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=4__emb=256__bs=1024.log,6.102,0.479,0.715,0.893,6.463,0.398,0.649,0.861,0.757,9
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,2,128,4096,combined,6,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=4096.log,7.365,0.478,0.712,0.897,7.506,0.455,0.709,0.897,0.74,19
llama3.1-8b-bc_slash-best_embeddings_last_3turns,3,256,4096,combined,7,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=256__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=256__bs=4096.log,7.37,0.478,0.709,0.895,7.511,0.451,0.704,0.89,0.76,15
llama3.1-8b-bc_slash-best_embeddings_last_3turns,3,128,2048,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=2048.log,6.556,0.478,0.721,0.903,6.87,0.432,0.688,0.88,0.747,7
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,2,128,2048,combined,4,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=128__bs=2048.log,6.593,0.478,0.717,0.899,6.902,0.431,0.679,0.88,0.747,12
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,2,64,2048,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=2048.log,6.595,0.478,0.715,0.897,6.89,0.428,0.684,0.881,0.743,13
