data_filename,num_context_layers,embedding_size,batch_size,mode,gpu,attempts,final_returncode,status,ckpt_path,log_path,best_val_loss,best_val_top10,best_val_top25,best_val_top50,best_test_loss,best_test_top10,best_test_top25,best_test_top50,best_triadic,best_epoch
llama3.1-8b-bc_slash-best_embeddings_last_1turns,2,64,2048,combined,7,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=2048.log,6.723,0.43,0.677,0.874,6.955,0.395,0.654,0.862,0.743,11.0
gemma3-4b-bc-split-1_embeddings_last_1turns,2,128,2048,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=2048.log,6.739,0.43,0.675,0.876,6.984,0.392,0.651,0.867,0.757,15.0
gemma3-4b-bc-split-1_embeddings_last_1turns,3,64,2048,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.716,0.43,0.677,0.88,6.937,0.39,0.658,0.869,0.736,12.0
gemma3-4b-bc-split-1_embeddings_last_1turns,3,128,2048,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=2048.log,6.713,0.43,0.679,0.879,6.949,0.388,0.651,0.867,0.753,13.0
gemma3-4b-bc-split-1_embeddings_last_1turns,3,128,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=1024.log,6.2,0.43,0.677,0.874,6.485,0.369,0.629,0.851,0.75,10.0
gemma3-4b-bc-split-1_embeddings_last_1turns,2,64,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=1024.log,6.21,0.43,0.676,0.877,6.489,0.367,0.631,0.851,0.74,13.0
gemma3-4b-bc-split-1_embeddings_last_1turns,2,128,4096,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=4096.log,7.503,0.429,0.668,0.875,7.601,0.407,0.668,0.877,0.75,16.0
gemma3-4b-bc-split-1_embeddings_last_1turns,3,256,2048,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=256__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=256__bs=2048.log,6.724,0.429,0.676,0.873,6.941,0.396,0.655,0.866,0.747,17.0
gemma3-4b-bc-split-1_embeddings_last_1turns,4,128,2048,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=2048.log,6.708,0.429,0.674,0.873,6.954,0.393,0.651,0.867,0.726,20.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,2,64,1024,combined,5,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=1024.log,6.22,0.429,0.674,0.87,6.485,0.375,0.623,0.846,0.729,10.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,4,64,1024,combined,4,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=1024.log,6.22,0.429,0.672,0.873,6.485,0.37,0.627,0.849,0.747,18.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,4,128,1024,combined,5,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=1024.log,6.262,0.429,0.671,0.874,6.538,0.366,0.618,0.847,0.764,20.0
gemma3-4b-bc-split-1_embeddings_last_1turns,4,128,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=1024.log,6.203,0.429,0.671,0.874,6.475,0.361,0.622,0.847,0.747,17.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,3,64,4096,combined,5,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=4096.log,7.492,0.428,0.674,0.875,7.587,0.422,0.676,0.876,0.76,18.0
gemma3-4b-bc-split-1_embeddings_last_1turns,3,128,4096,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=4096.log,7.489,0.428,0.672,0.876,7.588,0.414,0.671,0.875,0.76,20.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,3,128,2048,combined,7,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=2048.log,6.729,0.428,0.671,0.872,6.958,0.398,0.65,0.865,0.757,13.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,4,256,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=1024.log,6.229,0.428,0.675,0.872,6.496,0.37,0.625,0.852,0.764,15.0
gemma3-4b-bc-split-1_embeddings_last_1turns,4,256,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=1024.log,6.212,0.428,0.664,0.871,6.499,0.37,0.628,0.847,0.736,15.0
gemma3-4b-bc-split-1_embeddings_last_1turns,2,128,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=1024.log,6.221,0.428,0.673,0.874,6.506,0.367,0.62,0.845,0.76,10.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,4,128,1024,combined,1,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=1024.log,6.26,0.428,0.672,0.868,6.525,0.367,0.631,0.841,0.743,20.0
gemma3-4b-bc-split-1_embeddings_last_1turns,3,64,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=1024.log,6.199,0.428,0.681,0.876,6.464,0.364,0.628,0.855,0.75,11.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,3,128,2048,combined,4,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=2048.log,6.748,0.427,0.657,0.866,6.958,0.395,0.649,0.865,0.726,10.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,4,64,2048,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=2048.log,6.765,0.427,0.668,0.875,6.998,0.384,0.646,0.862,0.74,15.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,4,128,4096,combined,5,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=4096.log,7.512,0.426,0.675,0.871,7.601,0.418,0.671,0.877,0.753,19.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,2,64,4096,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=4096.log,7.534,0.426,0.666,0.87,7.615,0.417,0.669,0.874,0.753,19.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,3,64,1024,combined,4,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=1024.log,6.215,0.426,0.673,0.873,6.478,0.373,0.622,0.845,0.747,17.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,2,64,1024,combined,1,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=1024.log,6.235,0.426,0.659,0.867,6.488,0.366,0.626,0.844,0.75,13.0
gemma3-4b-bc-split-1_embeddings_last_1turns,3,256,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=256__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=3__emb=256__bs=1024.log,6.218,0.426,0.665,0.87,6.494,0.363,0.613,0.844,0.747,11.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,4,128,2048,combined,3,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=2048.log,6.738,0.425,0.666,0.87,6.969,0.393,0.647,0.86,0.747,13.0
gemma3-4b-bc-split-1_embeddings_last_1turns,2,256,2048,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=256__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=256__bs=2048.log,6.764,0.425,0.666,0.871,7.011,0.385,0.643,0.857,0.74,19.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,3,128,1024,combined,5,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=1024.log,6.243,0.425,0.671,0.869,6.509,0.362,0.624,0.847,0.747,12.0
gemma3-4b-bc-split-1_embeddings_last_1turns,2,256,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=256__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=256__bs=1024.log,6.218,0.425,0.673,0.873,6.494,0.357,0.617,0.846,0.747,7.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,2,64,2048,combined,3,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=2048.log,6.734,0.424,0.672,0.873,6.963,0.39,0.652,0.863,0.743,10.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,4,64,1024,combined,7,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=1024.log,6.215,0.424,0.671,0.874,6.474,0.372,0.624,0.852,0.743,14.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,3,128,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=128__bs=1024.log,6.23,0.424,0.669,0.869,6.479,0.37,0.626,0.849,0.743,9.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,3,64,4096,combined,1,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=4096.log,7.511,0.423,0.675,0.875,7.599,0.416,0.667,0.873,0.736,20.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,4,256,4096,combined,3,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=4096.log,7.51,0.423,0.667,0.871,7.602,0.407,0.669,0.873,0.747,20.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,2,128,2048,combined,1,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=2048.log,6.746,0.423,0.672,0.87,6.954,0.395,0.651,0.862,0.753,9.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,2,128,1024,combined,6,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=1024.log,6.236,0.423,0.662,0.871,6.491,0.368,0.626,0.846,0.747,6.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,3,256,1024,combined,3,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=256__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=256__bs=1024.log,6.219,0.423,0.67,0.872,6.479,0.367,0.626,0.848,0.743,11.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,2,128,4096,combined,3,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=2__emb=128__bs=4096.log,7.514,0.422,0.669,0.872,7.593,0.419,0.67,0.87,0.733,16.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,4,128,4096,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=4096.log,7.523,0.422,0.663,0.871,7.598,0.419,0.67,0.874,0.743,20.0
gemma3-4b-bc-split-1_embeddings_last_1turns,1,64,4096,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=1__emb=64__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=1__emb=64__bs=4096.log,7.551,0.422,0.663,0.864,7.639,0.414,0.664,0.866,0.736,19.0
gemma3-4b-bc-split-1_embeddings_last_1turns,2,256,4096,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=256__bs=4096.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=256__bs=4096.log,7.516,0.422,0.662,0.87,7.624,0.403,0.651,0.868,0.753,18.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,4,256,2048,combined,4,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=2048.log,6.78,0.422,0.666,0.872,6.997,0.392,0.656,0.863,0.743,19.0
