dataset,file,label,dim_polarity,dim_surprisal,dim_energy,dim_PCA1,dim_PCA2,dim_PCA3,dim_UMAP1,dim_UMAP2,dim_pitch_length,dim_pitch_range,dim_pitch_mean
FiCa,fica/Sy_077_oh.wav,oh,3.119,3.330,3.103,-0.237,-0.447,-0.240,-4.486,6.797,70,2.105,92.850
FiCa,fica/spontC_071_ah.wav,ah,3.727,4.097,4.225,-0.262,-0.704,-0.170,-3.634,5.926,72,7.000,101.235
FiCa,fica/spontA_393_mhm.wav,mhm,3.133,2.465,2.966,-0.465,0.039,-0.026,-1.339,3.998,48,2.484,92.833
FiCa,fica/spontD_101_yeah.wav,yeah,3.250,2.181,2.946,0.188,-0.394,0.324,7.420,1.978,51,2.985,93.117
FiCa,fica/sun1_005_mhm.wav,mhm,2.920,2.058,2.702,-0.451,-0.077,0.167,-1.110,4.267,53,2.495,95.090
FiCa,fica/spontE_106_uh-huh.wav,uh-huh,2.841,3.091,2.991,-0.307,-0.107,-0.244,-1.538,3.596,23,10.058,96.619
FiCa,fica/PR_028_yep.wav,yep,3.938,2.803,3.554,0.076,-0.289,0.214,8.170,3.670,38,5.510,94.307
FiCa,fica/spontE_270_yeah.wav,yeah,3.367,2.940,3.178,0.136,-0.077,0.037,7.147,2.542,45,3.770,93.135
FiCa,fica/PS_085_wow.wav,wow,3.823,4.202,4.032,-0.190,-0.418,-0.421,-0.497,14.670,52,14.728,90.858
FiCa,fica/PS_183_wow.wav,wow,4.023,4.242,4.122,-0.226,-0.397,-0.401,-0.593,14.744,54,7.682,94.460
FiCa,fica/PS_024_wow.wav,wow,4.183,4.660,4.470,-0.147,-0.677,-0.245,-0.388,14.719,111,18.276,91.823
FiCa,fica/Sy_011_oh.wav,oh,3.299,3.529,3.524,-0.255,-0.675,-0.276,-4.106,6.315,96,4.555,94.945
FiCa,fica/PS_194_oh.wav,oh,3.480,4.026,3.770,-0.251,-0.611,-0.285,-4.139,6.577,43,11.643,97.121
FiCa,fica/PS_027_oh.wav,oh,3.364,3.794,3.646,-0.235,-0.713,-0.241,-4.300,6.557,92,15.896,89.291
FiCa,fica/spontF_079_uh-huh.wav,uh-huh,3.599,3.262,3.765,-0.460,-0.453,-0.231,-2.214,3.619,42,4.782,97.406
FiCa,fica/sun_022_uh-huh.wav,uh-huh,3.358,3.395,3.444,-0.265,-0.639,-0.103,-3.289,5.467,74,5.116,95.119
FiCa,fica/spontA_065_oh.wav,oh,3.299,3.630,3.567,0.076,-0.645,-0.509,-4.122,6.564,48,2.172,97.192
FiCa,fica/spontA_292_yeah.wav,yeah,3.465,2.423,3.184,0.138,-0.030,0.205,7.585,2.221,39,14.599,86.268
FiCa,fica/NegS_060_ooh.wav,ooh,3.173,3.649,3.509,-0.194,-0.781,0.006,-3.413,5.570,71,15.971,91.484
FiCa,fica/spontB_139_yeah.wav,yeah,3.710,3.287,3.648,-0.111,-0.515,0.263,-2.582,5.414,57,3.612,95.275
FiCa,fica/PS_084_wow.wav,wow,3.508,4.120,3.762,-0.126,-0.591,-0.302,-0.391,14.690,68,13.100,88.561
FiCa,fica/NegS_052_ooh.wav,ooh,3.058,3.666,3.336,-0.390,-0.490,-0.239,-2.711,6.014,38,3.446,95.207
FiCa,fica/spontA_209_mhm.wav,mhm,3.247,2.856,3.292,-0.411,-0.237,-0.140,-1.755,4.057,36,3.797,97.621
FiCa,fica/spontB_137_uh-huh.wav,uh-huh,3.397,2.997,3.463,-0.315,-0.367,-0.409,-1.919,2.398,34,2.709,95.456
FiCa,fica/spontF_624_yeah.wav,yeah,3.322,2.759,3.010,0.247,0.035,-0.177,7.611,3.005,25,3.767,95.154
FiCa,fica/spontF_292_oh.wav,oh,3.152,3.542,3.329,-0.245,-0.608,-0.304,-3.937,6.346,65,2.471,94.274
FiCa,fica/spontF_092_uh-huh.wav,uh-huh,3.820,3.554,4.031,-0.362,-0.532,-0.241,-2.742,3.845,40,5.349,97.209
FiCa,fica/spontB_385_yeah.wav,yeah,3.231,2.873,3.105,0.133,0.076,-0.232,7.814,2.703,24,4.361,95.345
FiCa,fica/spontB_186_yeah.wav,yeah,3.063,2.413,2.787,0.327,-0.122,0.011,7.887,2.597,32,2.644,92.649
FiCa,fica/spontE_282_uh-huh.wav,uh-huh,3.343,3.438,3.442,-0.348,-0.321,-0.456,-3.341,6.457,26,3.443,96.274
FiCa,fica/PS_146_wow.wav,wow,3.587,4.088,3.719,-0.191,-0.421,-0.349,-0.742,14.795,77,2.025,92.127
FiCa,fica/PS_104_oh.wav,oh,3.354,3.826,3.565,-0.294,-0.472,-0.511,-3.816,6.554,34,1.943,92.986
FiCa,fica/spontF_086_yeah.wav,yeah,3.979,3.195,3.946,0.112,-0.437,-0.073,-1.738,2.472,47,7.754,98.666
FiCa,fica/spontF_312_mhm.wav,mhm,3.217,2.959,3.280,-0.379,-0.189,-0.244,-1.847,4.076,33,3.901,97.188
FiCa,fica/spontF_310_yeah.wav,yeah,3.364,2.732,3.181,0.188,-0.375,0.327,7.281,1.921,70,12.505,84.566
FiCa,fica/spontD_113_uh-huh.wav,uh-huh,3.842,3.786,4.097,-0.374,-0.575,-0.329,-3.110,6.179,35,11.503,98.448
FiCa,fica/PR_041_yeah.wav,yeah,3.826,3.643,3.879,0.078,-0.518,0.107,-3.095,5.746,68,7.131,95.982
FiCa,fica/sun1_035_uh-huh.wav,uh-huh,3.433,3.262,3.480,-0.314,-0.524,-0.218,-3.230,5.187,64,6.160,94.418
FiCa,fica/spontD_089_okay.wav,okay,3.162,2.565,2.877,-0.100,-0.458,-0.032,-0.656,-2.416,46,14.381,84.642
FiCa,fica/spontC_117_yeah.wav,yeah,3.811,3.051,3.870,0.334,-0.527,0.128,8.194,3.239,47,0.376,97.582
FiCa,fica/spontD_407_yeah.wav,yeah,3.104,2.957,3.098,0.165,0.021,-0.397,-1.943,5.297,19,2.398,95.584
FiCa,fica/spontC_335_yeah.wav,yeah,3.373,2.545,3.023,0.075,-0.408,0.430,6.931,1.820,74,13.121,88.155
FiCa,fica/PR_008_yes.wav,yes,3.716,2.671,3.340,-0.105,-0.180,-0.101,9.475,2.908,36,15.579,96.438
FiCa,fica/spontD_187_uh-huh.wav,uh-huh,3.021,3.010,3.015,-0.258,-0.180,-0.459,-2.482,5.705,24,2.298,95.110
FiCa,fica/spontF_570_yeah.wav,yeah,3.914,3.471,3.902,0.081,-0.509,0.132,-3.276,5.938,64,4.768,95.430
FiCa,fica/spontB_129_uh-huh.wav,uh-huh,3.690,3.629,3.934,-0.300,-0.446,-0.474,-2.225,2.354,26,9.039,99.110
FiCa,fica/spontA_135_ooh.wav,ooh,3.126,3.293,3.448,-0.187,-0.793,-0.078,-4.017,6.118,81,1.955,93.854
FiCa,fica/PR_054_yeah.wav,yeah,3.160,2.606,2.846,0.273,-0.328,0.288,7.131,1.919,69,1.111,93.747
FiCa,fica/spontA_106_yeah.wav,yeah,3.788,3.267,3.828,0.084,-0.311,-0.190,-1.542,2.481,29,4.054,98.233
FiCa,fica/spontA_107_mhm.wav,mhm,3.358,3.212,3.559,-0.355,-0.222,-0.292,-1.956,4.439,29,4.896,98.072
FiCa,fica/spontE_225_mhm.wav,mhm,3.240,3.165,3.289,-0.184,-0.115,-0.416,-2.083,4.621,26,5.516,96.920
FiCa,fica/PS_053_oh.wav,oh,3.747,4.090,4.131,-0.248,-0.828,-0.313,-3.726,5.997,124,12.194,97.126
FiCa,fica/spontB_326_mhm.wav,mhm,3.228,2.698,3.085,-0.383,0.094,-0.261,-1.115,4.257,34,2.747,97.559
FiCa,fica/spontF_634_uh-huh.wav,uh-huh,3.238,3.115,3.282,-0.467,-0.231,-0.220,-1.501,3.401,34,5.712,96.822
FiCa,fica/spontA_233_yeah.wav,yeah,3.631,2.977,3.596,0.114,-0.463,0.372,7.384,1.980,57,2.345,96.663
FiCa,fica/Sy_069_oh.wav,oh,3.360,3.577,3.456,-0.136,-0.456,-0.316,-3.744,6.361,85,3.080,94.854
FiCa,fica/spontA_091_mhm.wav,mhm,3.242,2.863,3.246,-0.346,-0.156,-0.325,-1.418,3.651,31,4.573,97.025
FiCa,fica/spontE_154_mhm.wav,mhm,3.370,3.065,3.487,-0.372,-0.373,-0.295,-1.908,4.223,40,4.503,98.131
FiCa,fica/spontE_038_uh-huh.wav,uh-huh,3.028,3.046,3.081,-0.229,-0.044,-0.352,-2.131,4.594,21,1.607,95.693
FiCa,fica/spontD_024_yeah.wav,yeah,3.287,2.812,3.101,0.385,0.208,-0.112,7.738,2.688,22,0.748,93.621
FiCa,fica/spontB_318_uh-huh.wav,uh-huh,3.388,2.901,3.282,-0.460,-0.233,-0.236,-1.670,3.071,38,1.439,95.686
FiCa,fica/spontC_346_yeah.wav,yeah,3.193,2.903,3.146,0.256,0.058,-0.216,7.750,3.110,23,1.306,94.275
FiCa,fica/spontA_290_uh-huh.wav,uh-huh,3.336,3.225,3.509,-0.346,-0.176,-0.345,-1.908,3.343,35,3.313,95.647
FiCa,fica/spontA_382_yeah.wav,yeah,2.934,2.532,2.870,0.242,0.123,0.052,7.290,2.645,35,1.676,92.652
FiCa,fica/spontB_009_ah.wav,ah,3.399,3.552,3.666,-0.267,-0.625,-0.176,-3.544,6.081,33,1.723,97.723
FiCa,fica/sun_039_mhm.wav,mhm,3.231,2.815,3.168,-0.378,-0.233,-0.135,-2.019,4.688,37,6.123,97.438
FiCa,fica/spontD_041_uh-huh.wav,uh-huh,3.509,3.320,3.547,-0.382,-0.293,-0.420,-2.545,4.198,31,6.299,95.687
FiCa,fica/spontA_313_uh-huh.wav,uh-huh,3.333,3.008,3.341,-0.461,-0.212,-0.338,-2.215,4.113,37,4.777,95.257
FiCa,fica/sun1_031_right.wav,right,3.184,1.815,2.597,-0.391,0.332,0.204,6.383,9.562,27,2.085,90.687
FiCa,fica/sun_043_yup.wav,yup,3.841,2.361,3.239,0.079,-0.043,0.304,8.292,3.827,33,0.809,94.981
FiCa,fica/sun_023_yes.wav,yes,3.525,2.557,3.117,0.014,-0.099,-0.126,9.188,2.949,35,15.703,88.972
FiCa,fica/spontA_196_uh-huh.wav,uh-huh,3.548,3.741,3.786,-0.345,-0.482,-0.390,-3.592,6.367,36,5.069,96.987
FiCa,fica/spontF_053_okay.wav,okay,3.066,2.318,2.702,-0.038,-0.337,-0.149,-0.656,-2.267,26,0.894,92.487
FiCa,fica/spontB_181_oh.wav,oh,3.272,3.697,3.460,-0.097,-0.436,-0.423,-4.095,6.764,38,3.938,94.518
FiCa,fica/spontD_133_mhm.wav,mhm,3.202,2.799,3.062,-0.415,-0.101,-0.142,-1.743,4.243,40,2.891,96.634
FiCa,fica/spontE_321_uh-huh.wav,uh-huh,3.230,3.281,3.448,-0.319,-0.411,-0.191,-1.787,3.013,26,1.631,97.843
FiCa,fica/spontD_287_yeah.wav,yeah,3.796,3.146,3.677,0.393,-0.284,-0.025,8.014,3.163,21,2.557,98.608
FiCa,fica/PS_113_wow.wav,wow,3.773,4.133,3.891,-0.203,-0.280,-0.289,-0.825,14.936,74,4.683,93.201
FiCa,fica/spontD_204_mhm.wav,mhm,2.889,2.365,2.694,-0.497,-0.022,0.005,-1.255,3.772,39,2.083,93.535
FiCa,fica/PS_188_wow.wav,wow,3.648,4.215,3.850,-0.369,-0.524,-0.190,-0.282,14.623,86,5.229,93.525
FiCa,fica/spontA_395_mhm.wav,mhm,3.249,2.419,3.193,-0.442,-0.124,-0.049,-1.394,3.502,40,2.060,93.824
FiCa,fica/spontE_301_oh.wav,oh,3.420,3.508,3.561,-0.170,-0.698,0.052,-3.474,5.741,70,6.174,98.226
FiCa,fica/PS_109_ooh.wav,ooh,3.277,3.497,3.601,-0.081,-0.849,-0.052,-3.408,5.670,121,6.746,93.668
FiCa,fica/sun1_023_yeah.wav,yeah,3.232,2.255,2.726,0.283,0.280,-0.211,7.961,3.080,12,2.532,93.960
FiCa,fica/spontC_017_okay.wav,okay,3.062,2.759,2.900,0.057,-0.525,-0.188,-0.809,-2.488,33,3.437,92.625
FiCa,fica/spontD_395_yeah.wav,yeah,3.388,2.186,3.119,0.012,-0.283,0.448,7.193,2.095,56,14.799,89.180
FiCa,fica/spontA_268_uh-huh.wav,uh-huh,3.117,3.040,3.208,-0.380,-0.147,-0.398,-1.927,3.972,27,5.161,96.160
FiCa,fica/PS_075_wow.wav,wow,3.546,4.024,3.650,-0.084,-0.578,-0.253,-0.640,14.738,101,14.006,87.280
FiCa,fica/spontE_79_yeah.wav,yeah,3.748,3.174,3.702,0.236,-0.254,-0.154,7.555,2.835,38,12.610,95.961
FiCa,fica/PS_048_wow.wav,wow,3.695,4.383,4.030,0.075,-0.717,-0.233,-0.403,14.559,111,14.783,88.665
FiCa,fica/spontC_309_mhm.wav,mhm,3.090,2.535,2.883,-0.332,-0.008,-0.317,-1.289,3.665,30,2.641,95.059
FiCa,fica/sun1_018_yup.wav,yup,3.651,2.300,3.303,0.047,-0.135,0.411,8.232,3.753,39,2.903,96.202
FiCa,fica/NegS_064_ooh.wav,ooh,3.249,3.509,3.464,-0.203,-0.639,-0.157,-3.463,5.699,73,2.296,92.940
FiCa,fica/spontA_441_yeah.wav,yeah,3.212,2.502,2.959,0.271,0.167,-0.196,7.575,3.077,21,0.887,96.568
FiCa,fica/PR_059_yes.wav,yes,3.834,2.727,3.497,-0.160,-0.272,0.046,9.327,2.705,57,17.461,96.562
FiCa,fica/spontF_221_yeah.wav,yeah,3.143,2.441,3.009,0.051,0.115,-0.348,-1.847,2.372,26,1.876,93.445
FiCa,fica/spontE_142_mhm.wav,mhm,2.956,2.396,2.757,-0.303,0.051,-0.274,-1.116,3.687,25,0.877,95.022
FiCa,fica/sun_045_yeah.wav,yeah,3.126,2.320,2.712,0.343,0.065,-0.046,8.221,2.740,21,3.099,95.597
FiCa,fica/NS_071_mhm.wav,mhm,3.323,2.969,3.208,-0.327,-0.313,-0.003,-2.164,5.244,75,5.570,95.141
FiCa,fica/sun1_002_mhm.wav,mhm,3.073,2.711,3.005,-0.319,-0.154,-0.216,-2.046,4.532,44,5.174,95.599
FiCa,fica/spontF_309_uh-huh.wav,uh-huh,3.545,3.522,3.745,-0.401,-0.377,-0.410,-2.807,3.817,31,7.209,96.116
FiCa,fica/spontA_340_yeah.wav,yeah,3.072,2.509,2.741,0.261,0.211,-0.358,7.489,2.779,20,2.729,92.917
FiCa,fica/spontC_018_oh.wav,oh,3.161,3.549,3.226,-0.306,-0.568,-0.092,-3.557,6.202,56,1.343,94.590
FiCa,fica/PR_009_yes.wav,yes,3.732,2.780,3.419,-0.176,-0.197,-0.114,9.377,2.930,26,3.987,94.054
FiCa,fica/spontD_145_yeah.wav,yeah,2.732,2.406,2.521,0.100,-0.079,0.229,7.277,1.943,40,3.655,94.035
FiCa,fica/PR_006_yes.wav,yes,3.916,3.330,3.725,-0.075,-0.465,-0.041,9.279,3.037,87,5.641,94.468
FiCa,fica/spontA_111_yeah.wav,yeah,3.317,2.749,3.168,0.185,0.050,0.023,7.619,2.276,41,13.962,90.383
FiCa,fica/spontE_197_yeah.wav,yeah,3.771,3.087,3.624,-0.117,-0.407,0.283,9.183,2.061,40,2.351,97.229
FiCa,fica/spontC_172_okay.wav,okay,3.016,2.601,2.684,0.074,-0.234,-0.494,-0.796,-2.106,10,13.303,96.858
FiCa,fica/PS_115_wow.wav,wow,3.666,3.912,3.813,-0.188,-0.299,-0.200,-3.085,5.718,83,6.402,93.435
FiCa,fica/spontF_180_uh-huh.wav,uh-huh,3.761,3.584,4.001,-0.381,-0.456,-0.368,-2.992,6.345,36,8.421,97.023
FiCa,fica/spontB_016_yeah.wav,yeah,3.604,2.925,3.453,0.449,-0.140,0.007,7.740,2.990,16,4.349,98.711
FiCa,fica/PS_028_oh.wav,oh,3.440,3.828,3.734,-0.083,-0.751,-0.267,-3.896,6.195,142,16.828,85.675
FiCa,fica/spontF_258_uh-huh.wav,uh-huh,3.552,3.255,3.672,-0.470,-0.387,-0.240,-1.696,3.258,35,4.156,96.174
FiCa,fica/spontF_386_okay.wav,okay,3.464,3.038,3.471,0.040,-0.427,-0.283,-0.705,-2.310,21,3.435,97.360
FiCa,fica/spontB_345_yeah.wav,yeah,2.803,2.661,2.672,-0.072,0.041,-0.360,-1.954,6.047,24,0.864,95.560
FiCa,fica/spontE_121_yeah.wav,yeah,3.436,2.885,3.146,0.228,-0.230,0.138,7.009,2.034,53,2.797,94.937
FiCa,fica/spontF_295_yeah.wav,yeah,3.084,2.570,2.937,0.382,0.120,-0.018,7.529,2.864,37,14.641,88.649
FiCa,fica/PR_048_right.wav,right,3.448,2.501,2.999,-0.366,0.357,0.189,6.055,9.561,34,4.009,93.609
FiCa,fica/NS_010_oh.wav,oh,3.360,3.763,3.481,-0.230,-0.654,-0.292,-3.652,6.127,92,2.598,94.350
FiCa,fica/spontF_157_yeah.wav,yeah,3.294,2.769,3.275,0.466,-0.346,0.199,7.282,1.964,41,2.526,92.925
FiCa,fica/spontB_028_okay.wav,okay,2.975,2.386,2.694,0.110,-0.063,-0.574,-0.811,-1.592,10,1.994,94.700
FiCa,fica/spontD_323_yeah.wav,yeah,3.476,2.525,3.197,0.155,-0.238,0.102,7.368,2.187,48,1.367,93.630
FiCa,fica/sun1_034_uh-huh.wav,uh-huh,3.812,3.243,3.831,-0.494,-0.470,-0.248,-2.380,3.845,47,4.969,96.207
FiCa,fica/spontF_512_yeah.wav,yeah,4.006,3.787,4.170,-0.108,-0.711,0.177,-3.559,5.930,76,5.198,97.274
FiCa,fica/PS_078_wow.wav,wow,3.724,4.296,3.871,-0.119,-0.476,-0.353,-0.618,14.726,85,15.358,88.204
FiCa,fica/spontC_319_yeah.wav,yeah,3.056,2.169,2.557,0.210,0.179,-0.136,7.475,2.632,26,4.257,92.943
FiCa,fica/spontF_136_yeah.wav,yeah,3.087,2.840,3.225,-0.122,-0.117,-0.285,-2.047,4.776,26,4.423,98.780
FiCa,fica/spontE_122_mhm.wav,mhm,2.930,2.785,3.071,-0.334,-0.279,-0.103,-1.868,5.387,55,1.926,93.860
FiCa,fica/PS_072_ooh.wav,ooh,3.461,3.608,3.707,-0.132,-0.798,-0.121,-3.580,5.776,136,9.650,94.595
FiCa,fica/spontE_059_yeah.wav,yeah,3.442,3.131,3.607,0.247,-0.648,0.323,7.160,1.648,66,1.624,95.320
FiCa,fica/spontA_334_mhm.wav,mhm,3.486,2.909,3.517,-0.515,-0.327,-0.053,-1.344,3.477,44,4.204,96.290
FiCa,fica/spontC_235_mhm.wav,mhm,2.923,2.666,2.927,-0.281,-0.068,-0.356,-1.353,3.553,19,1.368,95.106
FiCa,fica/spontC_315_oh.wav,oh,3.284,3.810,3.648,-0.059,-0.610,-0.355,-3.405,6.328,48,8.395,95.707
FiCa,fica/PS_044_wow.wav,wow,3.681,4.246,3.904,-0.216,-0.477,-0.341,-0.612,14.752,64,3.264,92.537
FiCa,fica/spontF_012_uh-huh.wav,uh-huh,3.557,3.252,3.683,-0.396,-0.445,-0.320,-1.827,2.820,33,4.399,97.057
FiCa,fica/spontC_127_yeah.wav,yeah,3.752,2.774,3.755,0.244,-0.414,0.064,7.103,1.879,27,3.847,94.338
FiCa,fica/spontE_176_oh.wav,oh,2.974,3.020,2.976,-0.145,-0.059,-0.551,-2.038,5.567,28,0.918,96.579
FiCa,fica/spontA_050_ooh.wav,ooh,3.248,3.385,3.573,-0.195,-0.748,-0.175,-4.324,6.521,84,0.897,93.997
FiCa,fica/PS_005_oh.wav,oh,3.363,4.040,3.747,-0.243,-0.654,-0.423,-4.179,6.632,53,3.845,93.144
FiCa,fica/PS_141_wow.wav,wow,4.045,4.516,4.348,-0.200,-0.785,-0.203,-0.455,14.636,137,20.342,91.313
FiCa,fica/PR_003_yes.wav,yes,4.080,3.455,3.992,-0.199,-0.592,0.112,9.486,2.521,81,8.328,96.399
FiCa,fica/sun1_033_right.wav,right,3.538,2.639,3.047,-0.307,0.060,0.238,6.518,9.713,61,3.484,94.170
FiCa,fica/PR_036_yeah.wav,yeah,3.232,2.632,2.920,0.308,-0.201,0.074,6.867,2.343,39,2.551,91.817
FiCa,fica/spontA_245_ah.wav,ah,2.883,3.119,2.971,-0.090,-0.140,-0.484,-3.671,7.185,21,0.600,92.027
FiCa,fica/spontC_136_uh-huh.wav,uh-huh,3.358,3.246,3.515,-0.403,-0.235,-0.425,-2.213,4.216,28,4.497,96.503
FiCa,fica/spontC_174_yeah.wav,yeah,3.503,2.909,3.471,0.064,-0.478,-0.013,6.526,2.024,30,4.106,96.410
FiCa,fica/Sy_066_oh.wav,oh,3.258,3.739,3.494,-0.251,-0.570,-0.183,-4.065,6.451,95,4.697,93.661
FiCa,fica/PS_148_oh.wav,oh,3.559,3.972,3.782,-0.255,-0.605,-0.272,-3.546,5.994,91,10.742,95.667
FiCa,fica/spontB_188_uh-huh.wav,uh-huh,3.324,3.296,3.422,-0.271,-0.066,-0.512,-2.563,5.043,32,5.053,95.100
FiCa,fica/spontC_504_yeah.wav,yeah,3.189,2.572,3.021,0.362,0.015,-0.077,7.452,2.785,19,9.004,87.261
FiCa,fica/spontC_405_yeah.wav,yeah,3.226,2.479,3.148,0.060,-0.010,0.084,7.768,2.874,38,0.797,94.099
FiCa,fica/spontF_183_uh-huh.wav,uh-huh,3.537,3.393,3.782,-0.251,-0.645,-0.201,-4.146,6.405,49,2.506,98.346
FiCa,fica/spontE_171_mhm.wav,mhm,3.247,3.118,3.328,-0.350,-0.238,-0.170,-1.896,4.715,38,1.755,96.604
FiCa,fica/PR_053_uh-huh.wav,uh-huh,3.208,3.299,3.281,-0.421,-0.468,-0.202,-3.167,4.685,55,2.554,94.736
FiCa,fica/spontF_573_uh-huh.wav,uh-huh,3.417,3.454,3.633,-0.422,-0.483,-0.233,-3.040,5.850,45,3.702,97.177
FiCa,fica/spontC_280_yeah.wav,yeah,3.196,3.401,3.528,0.124,-0.204,-0.447,-3.149,6.946,29,3.271,96.818
FiCa,fica/PR_026_yes.wav,yes,3.402,2.537,3.117,-0.028,-0.187,-0.288,9.443,2.607,16,1.791,96.129
FiCa,fica/spontC_013_uh-huh.wav,uh-huh,3.547,3.498,3.825,-0.213,-0.325,-0.534,-3.185,6.712,28,3.403,96.148
FiCa,fica/spontA_122_oh.wav,oh,3.503,3.394,3.529,-0.210,-0.599,-0.206,-3.715,6.312,55,5.357,97.099
FiCa,fica/spontC_322_mhm.wav,mhm,3.481,3.042,3.592,-0.428,-0.151,-0.314,-1.132,3.703,35,3.167,95.530
FiCa,fica/sun_026_exactly.wav,exactly,3.821,2.263,3.227,-0.121,0.033,0.443,11.671,13.986,45,2.439,93.191
FiCa,fica/spontA_046_yeah.wav,yeah,3.795,3.244,3.782,-0.021,-0.444,0.101,-2.487,5.793,45,5.248,95.754
FiCa,fica/spontE_067_yeah.wav,yeah,3.241,2.670,2.957,0.483,-0.201,0.156,7.472,2.356,40,13.771,91.475
FiCa,fica/spontD_228_yeah.wav,yeah,2.984,2.802,3.019,0.261,-0.066,0.052,7.574,2.783,33,21.701,91.974
FiCa,fica/spontB_063_yeah.wav,yeah,3.194,2.460,2.904,0.222,0.109,-0.187,7.354,2.909,25,2.689,96.840
FiCa,fica/spontA_069_uh-huh.wav,uh-huh,3.549,3.345,3.692,-0.354,-0.369,-0.467,-3.094,6.163,27,5.651,97.209
FiCa,fica/spontF_659_yeah.wav,yeah,2.802,2.277,2.561,0.113,0.268,-0.422,-0.791,5.319,20,4.508,91.296
FiCa,fica/spontF_506_yeah.wav,yeah,3.673,3.248,3.685,0.045,-0.523,0.165,-2.275,6.003,68,2.208,98.942
FiCa,fica/spontC_350_mhm.wav,mhm,3.463,3.046,3.579,-0.390,-0.230,-0.331,-1.782,4.157,35,7.054,97.329
FiCa,fica/spontF_441_yeah.wav,yeah,3.685,2.907,3.515,0.254,-0.028,-0.121,7.583,2.559,20,3.176,95.539
FiCa,fica/spontA_379_mhm.wav,mhm,3.462,3.040,3.507,-0.411,-0.190,-0.359,-1.816,3.875,30,4.490,96.516
FiCa,fica/spontB_304_oh.wav,oh,3.419,3.612,3.601,-0.179,-0.637,-0.278,-3.827,5.998,65,3.694,97.841
FiCa,fica/spontC_328_mhm.wav,mhm,3.362,3.168,3.534,-0.357,-0.123,-0.432,-2.006,4.392,23,7.441,98.079
FiCa,fica/spontF_028_ooh.wav,ooh,3.636,3.995,3.938,-0.225,-0.687,-0.245,-3.687,6.068,62,10.713,95.334
FiCa,fica/spontB_299_yeah.wav,yeah,3.710,3.497,3.883,0.092,-0.481,-0.090,-2.966,5.929,30,3.587,100.114
FiCa,fica/spontA_116_yeah.wav,yeah,3.448,2.565,3.045,0.219,0.106,-0.138,7.800,2.633,26,5.849,94.193
FiCa,fica/spontA_051_uh-huh.wav,uh-huh,3.478,3.085,3.609,-0.399,-0.322,-0.240,-2.208,2.545,32,1.375,95.835
FiCa,fica/PS_173_wow.wav,wow,3.336,3.817,3.435,-0.129,-0.372,-0.344,-0.512,14.477,80,12.634,86.781
FiCa,fica/spontA_158_uh-huh.wav,uh-huh,2.880,2.717,2.966,-0.220,-0.112,-0.256,-1.595,3.255,28,1.456,94.275
FiCa,fica/spontA_061_mhm.wav,mhm,3.450,2.969,3.526,-0.469,-0.223,-0.254,-1.833,3.761,31,4.994,96.632
FiCa,fica/spontF_038_mhm.wav,mhm,3.349,3.013,3.362,-0.455,-0.156,-0.310,-1.937,4.120,32,5.929,96.504
FiCa,fica/PS_032_oh.wav,oh,3.289,3.865,3.622,-0.214,-0.616,-0.342,-4.227,6.772,56,4.019,92.151
FiCa,fica/spontB_141_yeah.wav,yeah,3.521,3.037,3.357,0.126,-0.293,0.212,7.761,2.676,54,0.962,94.641
